@relation R_data_frame

@attribute COLORC {DOJI,DOWN,UP}
@attribute MTREND_130 {DOWN,UP}
@attribute MTREND_20 {DOWN,UP}
@attribute D numeric
@attribute TH numeric
@attribute TM numeric
@attribute TYPEWIN_5M string
@attribute WINCALL_5M numeric
@attribute TYPEWIN_15M string
@attribute WINCALL_15M numeric

@data
UP,DOWN,DOWN,3,2,42,WINPUT,0,WINPUT,0
DOJI,DOWN,UP,3,2,43,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,2,44,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,2,45,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,46,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,47,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,2,48,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,2,49,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,2,50,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,2,51,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,2,52,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,2,53,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,2,54,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,2,55,WINPUT,0,WINPUT,0
DOJI,DOWN,DOWN,3,2,56,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,57,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,58,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,59,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,0,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,3,1,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,3,2,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,3,3,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,4,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,5,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,6,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,7,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,8,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,3,9,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,3,10,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,3,11,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,3,12,TIE,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,13,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,14,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,3,15,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,3,16,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,17,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,18,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,19,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,20,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,3,21,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,22,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,23,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,24,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,25,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,3,26,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,3,27,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,3,28,WINCALL,1,WINPUT,0
